Student ID,Last Name,First Name,Middle Name,Birthdate,Nationality,Gender,Email,Phone Number,Year Level
03-1920-00010,Baltazar,Romel,Ramirez,05/09/2001,Filipino,Male,rom.baltazar@gmail.com,09835559177,1
03-1920-64597,Bautista,Stacy Sue,David,01/21/2000,Filipino,Female,sta.bautista@gmail.com,09195556786,1
03-1920-89216,Castro,Jayme,Ferrer,08/17/2001,Filipino,Male,jay.castro@gmail.com,09928258376,2
03-1920-00023,Esteban,Benjie,Dela Cruz,11/21/1998,Filipino,Male,ben.esteban@gmail.com,093355568259,2
03-1920-42835,Francisco,Stella Erin,Dizon,11/03/1999,Filipino,Female,ste.francisco@gmail.com,09533952209,3
03-1920-21022,Galvez,Diwa,Tolentino,06/28/2000,Filipino,Female,diw.galvez@gmail.com,093355523494,1
03-1920-93425,Gomez,Chrystal,Pascual,02/17/2001,Filipino,Female,chr.gomez@gmail.com,09632145101,2
03-1920-23648,Lopez,Patrick,Velasco,07/18/1999,Filipino,Male,pat.lopez@gmail.com,09335557267,4
03-1920-53481,Mendel,Dennis,Gutierrez,12/27/1998,Filipino,Male,den.mendel@gmail.com,09225552301,4
03-1920-78561,Mendoza,Thea Marianne,Salazar,12/07/1999,Filipino,Female,the.mendoza@gmail.com,09325550355,2
03-1920-02323,Miranda,Tan,Aguilar,09/13/1998,Filipino,Male,all.miranda@gmail.com,09195557108,3
03-1920-09994,Munoz,Rutchell,Tan,07/21/1999,Filipino,Female,rut.munoz@gmail.com,09325551750,2
03-1920-18276,Nicolas,Princess,Valdez,04/17/2000,Filipino,Female,pri.nicolas@gmail.com,09215550957,2
03-1920-61028,Pangilinan,Efren,Navarro,01/20/2000,Filipino,Male,efr.pangilinan@gmail.com,09195552398,1
03-1920-19576,Reyes,Paula,Javier,11/13/2000,Filipino,Female,pau.reyes@gmail.com,09235554583,2
03-1920-61297,Sanchez,Nicke Elierly,Lim,12/26/2001,Filipino,Female,nic.sanchez@gmail.com,09527618788,3
03-1920-17396,Santos,Aubree Shenna,Corpuz,10/22/1998,Filipino,Female,aub.santos@gmail.com,09085553019,1
03-1920-14836,Suarez,Joriz,Mercado,09/25/1998,Filipino,Male,jor.suarez@gmail.com,09195551476,2
03-1920-29143,Torres,Carlie Teddy,Manalo,09/20/1999,Filipino,Male,car.torres@gmail.com,09521103412,1
